LANGUAGE, English, German, French

STRS_TW_dummy, "English", "German", "French"
STRS_restart, "Mission finished, it will be restarted in 15 seconds.", "Die Mission ist zu Ende und wird in 15 Sekunden neu gestartet.", "Mission Terminée, elle sera relancée dans 15 secondes."
STRS_restart2, "Mission restarted", "Mission wurde neu gestartet", "Mission relancéee"
STRS_SS_Save_Geardone, "Gear saved", "Ausrüstung gespeichert", "Armes sauvegardées"

STRS_Vote_Running, "Please wait, a voting is already in progress.", "Bitte warten, es läuft bereits eine Abstimmung.", "Patientez, vote en cours !"
STRS_Vote_Started, "You started a voting. The team has now %1 seconds to vote.", "Du hast eine Abstimmung gestartet. Dein Team hat jetzt %1 Sekunden Zeit zum Abzustimmen.", "Vous avez lancé un vote. L'équipe a %1 seconds pour voter."
STRS_Vote_Result, "Voting finished. Results: %1 Yes %2 No", "Abstimmungsergebnis: %1 Ja %2 Nein", "Vote terminé. Résultat: %1 Yes %2 No"
STRS_Vote_StartInformation, "%1 wants to mobilize the HQ. Please vote!", "%1 möchte das Hauptquartier mobilisieren. Bitte stimme ab!", "%1 veut déplacer le HQ. Merci de voter."
STRS_Vote_Yes, "Vote Yes", "Stimme mit Ja", "Voter Oui"
STRS_Vote_No, "Vote No", "Stimme mit Nein", "Voter Non"
STRS_Vote, "Vote", "Wählen", "Voter"

STRS_welcome_1, "Welcome to TeeTime's Warfare - Rexagena Edit", "Willkommen auf TeeTime's Warfare - - Rexagena Edit", "Bienvenue sur la TeeTime's Warfare - - Rexagena Edit"
STRS_welcome_2, "Capture all Cities to win this mission!", "Erobere alle Städte, um die Mission zu gewinnen.", "Capturez toutes les villes pour gagner."
STRS_welcome_3, "Increase your income by capturing and holding more cities.", "Erobere und halte mehr Städte, um Dein Einkommen zu steigern.", "Augmentez vos gains en capturant et en protégeant les villes conquises."
STRS_welcome_4, "Use mouse scroll to access the Main Menu. You have to be close to MHQ! Buy more weapons and vehicles at captured towns by using the Action Menu","Maus scroll zum öffnen das Hauptmenü. Du musst in der nähe des MHQ sein. Um in Städten zu kaufen, musst du das Action Menu verwenden!",""
STRS_welcome_end, "Good Luck and Have Fun!", "Viel Glück und viel Spaß", "Bonne chance et bon jeu"
STRS_InfoDlg_Close,"Close","Schliessen",""

STRS_kill_bonus, "You received %1$ for killing %2.", "Du hast %1$ erhalten, weil Du %2 getötet hast.", "Prime de %1$ pour avoir tué %2."
STRS_kill_TK_punish, "You killed a team member and lose %1$ as a punishment.", "Du hast ein Teammitglied getötet. Dir wurden %1$ zu Strafe abgezogen.", "Vous avez tué un équipier et vous perdez %1$ en guise de punition."
STRS_kill_TK_punishbase, "You killed a team member in the base area, thus you've been killed.", "Du hast einen Teamkameraden in der Basis umgebracht. Zur Strafe wurdest Du erschossen!", "Vous avez tué un membre de l'équipe à la Base, vous avez donc été tué aussi."
STRS_kill_TK_punish_ultiamte, "You have killed too many team members. You have to stay here for 5 minutes!", "Du hast zu viele Teamkameraden getötet. Zur Strafe musst du 5 Minuten hier bleiben!", "Vous avez tué trop de membre de l'équipe. Vous resterez donc ici pour 5 minutes !"
STRS_kill_TK_punish_ultiamte2, "Do not teamkill your brothers in arms! First identify, only then shoot your targets!", "Töte keine Kameraden! Erkenne Deine Ziele  nicht auf Eigene schießen!", "Ne tuez pas vos frères d'armes! Identifiez d'abord la cible avant de tirer !"

STRS_spawn_choosemsg, "Please choose your spawn location", "Wähle jetzt Deinen Wiedereinstiegspunkt", "Choisissez un lieu de Respawn"
STRS_spawn_choosemsg2, "Click on a friendly base flag or town to respawn there!", "Klicke dazu auf Deine Basis oder auf eine befreundete Stadt!", "Clickez sur la base ou sur une ville amie pour réapparaitre à proximité !"

STRS_Konto, "Your account balance: %1$", "Dein Kontostand: %1$", "Solde du Compte : %1$"
STRS_Konto2, "You now have %1$ on your account.", "Du hast jetzt %1$ auf Deinem Konto", "Il vous reste maintenant %1$ sur votre compte."

STRS_died, "You've died and will respawn in 120 seconds!", "Du bist gestorben und wirst in 120 Sekunden neu einsteigen!", "Vous êtes mort et réapparaitrez dans 120 secondes !"

STRS_action_konto, "Check Account Balance", "Konto anzeigen", "Voir le compte"

STRS_action_shop, "Main Menu", "Das Hauptmenü", "Voir le compte"

STRS_action_lock, "Lock/Unlock", "Auf-/Abschließen", "Verrouiller/Déverouiller"
STRS_action_savegear, "Save Gear", "Ausrüstung speichern", "Sauvegarde des Armes"
STRS_action_buy, "Buy %1 (%2$)", "Kaufe %1 (%2$)", "Acheter %1 (%2$)"
STRS_action_repair, "Repair your Vehicle (%1$)", "Fahrzeug reparieren (%1$)", "Réparer le véhicule (%1$)"
STRS_action_refuel, "Refuel your Vehicle (%1$)", "Fahrzeug auftanken (%1$)", "Faire le plein du (%1$)"
STRS_action_reammo, "Rearm your Vehicle (%1$)", "Fahrzeug neu bewaffnen (%1$)", "Réarmer le véhicule (%1$)"
STRS_action_mobilzehq, "Mobilize HQ", "Hauptquartier mobilisieren", "Déplacer le HQ"
STRS_action_buildhq, "Deploy HQ", "Hauptquartier aufbauen", "Installer le HQ"
STRS_action_vehicelshop, "Vehicle depot", "Fahrzeugdepot", "Dépot de véhicule"
STRS_action_weaponshop, "Weapon depot", "Ausrüstungsdepot", "Armurerie"
STRS_action_aishop, "Recruitment center", "Rekrutierungsbüro", "Centre de recrutement"


STRS_hq_towntoclose, "You cannot place your HQ within a radius of less then %1 metres to a town.", "Das Hauptquartier muss mindestens %1m von einer Stadt entfernt stehen.", "Impossible d'installer le HQ à moins de %1 metres d'une ville."

STRS_town_takenbonus, "Town captured! You have earned %1$", "Du hast diese Stadt erobert und %1$ als Belohnung erhalten.", "Ville capturée ! Vous recevez une prime de %1$"
STRS_town_points, "%1 points left", "%1 Punkte verbleiben","Reste %1 points pour la capture"
STRS_town_scoutbonus, "You have earned %1$ for scouting a town.", "Du hast %1$ dafür erhalten, dass Du diese Stadt aufgeklärt hast.", "Vous recevez une prime de %1$ pour la reconnaissance de la ville."
STRS_town_cantcapstrat, "Its senseless to capture this town. We cant supply it", "Wir können diese Stadt nicht einnehmen, wie sollen wir sie den versorgen?", "Its senseless to capture this town. We cant supply it FRENCHMISSING"
STRS_town_captured, "%1 has been captured by %2.","",""

STRS_repair_cant, "There is nothing to be repaired at this vehicle!", "Dieses Fahrzeug ist in einem Top-Zustand, es gibt Nichts zu reparieren!", "Aucune réparation nécessaire !"
STRS_repair_nomoney, "You don't have enough money to repair this vehicle.", "Du hast nicht genug Geld, um das Fahrzeug zu reparieren.", "Vous n'avez pas assez d'argent pour réparer le véhicule."
STRS_repair_started, "You commenced repairing your vehicle. Please wait %1 seconds.", "Du hast damit begonnen, das Fahrzeug zu reparieren. Warte jetzt %1 Sekunden.", "Réparation en cours, Patientez %1 secondes."
STRS_repair_aborted, "Repairing cancelled", "Reparatur abgebrochen", "Réparation annulée"
STRS_repair_msg, "Repairing", "Reparatur läuft...", "Réparation en cours !"
STRS_repair_end, "Vehicle repaired", "Reparatur abgeschlossen", "Véhicule réparé !"

STRS_refuel_full, "Your fuel tank is full!", "Dein Tank ist schon voll, Du kannst nicht tanken.","Le plein est fait !"
STRS_refuel_nomoney, "You don't have the money to refuel this vehicle!", "Du hast nicht genug Geld, um Dein Fahrzeug zu betanken!","Vous n'avez pas assez d'argent pour refaire le plein !"
STRS_refuel_started, "You started to refuel your vehicle. Please wait here.", "Du hast mit dem Tanken begonnen. Warte hier!","Ravitaillement initialisé, attendez ici."
STRS_refuel_aborted, "Refueling cancelled", "Tanken abgebrochen","Ravitaillment annulé"
STRS_refuel_status, "Refueling", "Tanken läuft","Ravitaillement en cours"
STRS_refuel_end, "Vehicle refuelled", "Tanken abgeschlossen","Véhicule ravitaillé"

STRS_ammo_nomoney, "You don't have the money to rearm this vehicle!", "Du hast nicht das Geld, um neue Munition zu kaufen!","Vous n'avez pas assez d'argent pour réarmer le véhicule"
STRS_ammo_started, "You started to reload ammunition. Please wait here for %1 seconds.", "Du hast damit begonnen, neue Munition zu laden. Warte hier %1 Sekunden.",  "Réarmement en cours.  Attendez ici pendant %1 secondes."
STRS_ammo_aborted, "You have moved the vehicle, thus ammunition could not be loaded.", "Du hast das Fahrzeug bewegt, das Nachladen der Munition musste abgebrochen werden.", "Vous avez deplacé le véhicule, le réarmement a été annulé."
STRS_ammo_end, "Amunition loaded!", "Munition geladen!", "Réarmement terminé !"

STRS_lock_closed, "Locked", "Geschlossen", "Verouillé"
STRS_lock_open, "Unlocked", "Aufgeschlossen", "Déverouillé"
STRS_buy_nomoney, "You don't have enough money to buy this!", "Du hast nicht genug Geld, um dies zu kaufen!", "Vous n'avez pas assez d'argent pour acheter cela !"

STRS_buy_vehicle_noserver, "You cannot buy vehicles. This feature has been restricted by the server parameters!", "Du kannst keine Fahrzeuge kaufen, da diese Funktion serverseitig deaktiviert wurde.", "L'achat de véhicule est désactivé."

STRS_buy_ai_noserver, "You cannot buy AI. This feature has been restricted by the server parameters!", "Du kannst keine KI kaufen, da diese Funktion serverseitig deaktiviert wurde.", "L'achat d'IA est désactivé."
STRS_buy_ai_limit, "You cannot reinforce further, you have reached the AI limit!", "Du kannst keine weitere KI kaufen, Du hast die KI-Grenze erreicht!", "Le nombre d'IA max est atteint !"

STRS_action_grp_leave, "Leave Group", "Gruppe verlassen", "Quitter l'escouade"
STRS_action_grp_join, "Join Player Group", "Gruppe des Spielers beitreten", "Rejoindre l'escouade"
STRS_buy_ai_notleader, "Only the group leader can buy AI!", "Nur der Gruppenführer kann KI-Einheiten kaufen!", "Seul le leader de l'escouade peut acheter des IA!"

STRS_MainMenu_TTitle, "Main Menu","Hauptmenü",""
STRS_MainMenu_BUnits,"Buy Units","Einheiten kaufen",""
STRS_MainMenu_BGear,"Buy Gear","Ausrüstung kaufen",""
STRS_MainMenu_BVehicles,"Buy Vehicles","Fahrzeuge kaufen",""
STRS_MainMenu_BHQ,"Headquarters","Hauptquartier",""
STRS_MainMenu_BCommander,"Commander","Commander",""
STRS_MainMenu_BReturn,"Return","Zurück",""

STRS_GearMenu_TTitle, "Buy Gear","Ausrüstung Kaufen", ""
STRS_GearMenu_TSelected, "Selected","Ausgewählt", ""
STRS_GearMenu_TInfoFunds,"Funds:","Kapital:",""
STRS_GearMenu_TInfoName,"Name:","Name:",""
STRS_GearMenu_TInfoCost,"Cost:","Kosten:",""
STRS_GearMenu_FAccInfo,"Account Information","Konto Information",""
STRS_GearMenu_FGearInfo,"Gear Information","Ausrüstung Information",""
STRS_GearMenu_FCostInfo,"Cost Information","Kosten Information",""
STRS_GearMenu_BSelect1,">",">",">"
STRS_GearMenu_BSelectAll,">>",">>",">>"
STRS_GearMenu_BDisselect1,"<","<","<"
STRS_GearMenu_BDisselectAll,"<<","<<","<<"
STRS_GearMenu_BBuyToInventory,"Buy to Inventory","In Inventar Kaufen",""
STRS_GearMenu_BBuyToCrate,"Buy to Crate","In Kiste Kaufen",""

STRS_UnitMenu_TTitle, "Buy Units","Einheiten Kaufen",""
STRS_UnitMenu_TInfoFunds,"Funds:","Kapital:",""
STRS_UnitMenu_TInfoCost,"Cost:","Kosten:",""
STRS_UnitMenu_TUnitsAvailable,"Available Units","Auswählbare Einheiten",""
STRS_UnitMenu_TUnitsSelected,"Selected Units","Ausgewählte Einheiten",""
STRS_UnitMenu_FAccInfo,"Account Information","Konto Information",""
STRS_UnitMenu_FCostInfo,"Cost Information","Kosten Information",""
STRS_UnitMenu_BBuyUnit,"Buy Units","Einheiten Kaufen",""
STRS_UnitMenu_BSelect1,">",">",">"
STRS_UnitMenu_BSelectAll,">>",">>",">>"
STRS_UnitMenu_BDisselect1,"<","<","<"
STRS_UnitMenu_BDisselectAll,"<<","<<","<<"

STRS_VehMenu_TTitle, "Buy Vehicles","Fahrzeuge Kaufen",""
STRS_VehMenu_TInfoFunds,"Funds:","Kapital:",""
STRS_VehMenu_TVehiclesAvailable,"Available Vehicles","Auswählbare Fahrzeuge",""
STRS_VehMenu_FAccInfo,"Account Information","Konto Information",""
STRS_VehMenu_BBuyVehicle,"Buy Vehicle","Einheit Kaufen",""

STRS_VotingMenu_VoteYes,"Yes","Ja","Oui"
STRS_VotingMenu_VoteNo,"No","Nein","Non"

STRS_dlg_Menu_wep,"Weapons","Waffen",""
STRS_dlg_Menu_mag,"Magazines","Magazine",""
STRS_dlg_Menu_item,"Items","Items",""
STRS_dlg_Menu_wear,"Wear","Wear",""
STRS_dlg_Menu_bp,"Backpacks","Rucksäcke",""
STRS_dlg_Menu_Bike,"Bikes","Bikes",""
STRS_dlg_Menu_Boat,"Boats","Boote",""
STRS_dlg_Menu_Car,"Cars","Autos",""
STRS_dlg_Menu_Truck,"Trucks","Lastkraftwagen",""
STRS_dlg_Menu_Air,"Air Vehicles","Luftfahrzeuge",""

STRS_dlg_CART_ErrorNoSelection,"No Item Selected","Kein Item ausgewählt",""